Common Name,Double,Variable,SAO #,RA (hr),RA (min),Dec Deg,Dec Amin,Mag,Const,Sep,Description
,,,1,0,2.7,82,58.4,7.2,,,
,HD 225020 ,,2,0,2.8,80,16.9,"7.7,9.9",Cep,Sep AB:16,Double Star
,,,106,0,39.8,82,29.6,6.4,,,
,,,130,0,50.1,81,58.0,7.6,,,
,,,143,0,54.8,83,42.5,5.5,,,
,,,162,1,0.5,80,32.7,6.6,,,
,HD 5679 U Cep,,168,1,2.3,81,52.5,"6.9,11.2,12.9",Cep,"Sep AB:14, Sep AC:21",Double Star
,,,171,1,3.6,84,36.4,6.7,,,
,,,181,1,8.7,86,15.4,4.5,,,
,,,193,1,16.2,87,8.7,6.4,,,
,,,209,1,33.6,89,1.0,6.5,,,
,HD 7471 ,,218,1,19.1,80,51.7,"7.2,8",Cep,Sep AB:130,Double Star
,,,221,1,19.5,80,53.6,6.7,,,
,,,263,1,40.5,81,25.8,7.1,,,
,,,291,1,49.9,80,53.2,7.2,,,
,,,294,1,51.2,81,22.5,7.5,,,
Polaris,HD 8890 Alpha UMi; 1 UMi; Polaris,,308,2,31.6,89,15.9,"2,9,13,12",UMi,"Sep AB:18, Sep AC:45, Sep AD:83",Double Star
,,,310,1,55.7,81,57.6,7.2,,,
,,,312,1,56.0,80,54.6,7.6,,,
,,,342,2,7.5,80,39.9,7.5,,,
,,,344,2,9.4,81,17.8,6,,,
,,,345,2,10.5,81,28.9,6.8,,,
,,,356,2,19.0,85,44.1,7.7,,,
,,,359,2,16.7,83,33.7,6.9,,,
,,,372,2,21.1,80,43.6,7.7,,,
,,,404,2,37.5,83,50.1,6.8,,,
,,,433,2,47.8,81,27.0,5.9,,,
,,,500,3,11.7,81,28.2,6,,,
,,,536,3,23.5,82,9.0,7.4,,,
,,,540,3,27.7,83,31.7,7.5,,,
,,,550,3,32.3,84,54.8,5.8,,,
,,,594,3,49.5,80,19.3,6.7,,,
,,,599,3,54.8,83,32.7,7.3,,,
,,,623,4,9.9,86,37.6,5.8,,,
,,,650,4,10.0,80,41.9,5.3,,,
,,,670,4,17.9,80,32.1,6.6,,,
,,,673,4,20.9,81,58.6,7.5,,,
,,,685,4,28.2,83,48.5,5.4,,,
,,,691,4,27.0,80,49.5,5.6,,,
,,,693,4,30.0,83,20.3,5.7,,,
,,,695,4,35.4,85,31.6,6.7,,,
,,,701,4,29.6,80,55.9,7.4,,,
,,,702,4,34.6,84,28.4,7.5,,,
,,,721,4,36.9,80,52.9,7.4,,,
,,,736,4,46.1,84,1.8,7.4,,,
,,,772,5,1.7,84,52.3,7.7,,,
,,,783,5,0.3,81,11.6,5.3,,,
,,,843,5,31.8,85,56.4,6.5,,,
,,,866,5,37.2,83,51.7,7.1,,,
,,,873,5,43.8,85,40.1,6.5,,,
,,,914,6,1.3,85,10.9,6.4,,,
,,,929,6,2.9,82,45.0,7.6,,,
,,,1026,6,35.4,80,34.4,7.2,,,
,,,1037,6,51.8,86,41.1,6.6,,,
,,,1043,6,44.5,82,7.0,6.4,,,
,,,1054,6,47.0,80,14.5,7.3,,,
,,,1159,7,23.8,80,37.6,7.4,,,
,,,1164,7,25.4,81,15.5,6.2,,,
,,,1168,7,40.5,87,1.2,5.3,,,
,,,1179,7,31.1,82,24.7,5.1,,,
,,,1194,7,34.7,80,53.8,6.5,,,
,,,1222,7,46.9,81,40.9,7.5,,,
,,,1254,7,56.4,80,15.9,6.5,,,
,,,1255,7,57.3,81,21.2,7.2,,,
,,,1300,8,16.9,84,3.5,6.4,,,
,,,1312,8,23.5,85,41.6,7.2,,,
,,,1319,8,24.6,82,25.9,6.2,,,
,,,1378,8,46.4,82,14.4,6.7,,,
,,,1381,8,51.0,85,3.1,7.4,,,
,,,1401,9,21.8,88,34.2,7,,,
,,,1404,8,56.5,83,53.3,7.4,,,
,,,1412,8,55.6,80,1.8,7.5,,,
,,,1421,8,58.8,81,17.1,7.6,,,
,,,1422,9,0.1,82,43.2,7.5,,,
,,,1428,9,2.7,82,44.7,7.1,,,
,,,1453,9,11.2,80,49.8,6.5,,,
,,,1461,9,15.3,84,10.8,6.3,,,
,,,1547,9,36.9,82,55.5,7.2,,,
,,,1551,9,37.1,81,19.6,4.6,,,
,,,1560,9,41.7,82,21.9,7.5,,,
,,,1628,10,9.6,86,34.6,7.7,,,
,,,1637,10,8.6,83,55.1,6.5,,,
,,,1649,10,12.9,82,24.1,7.1,,,
,,,1681,10,24.7,82,48.1,6.9,,,
,,,1701,10,29.8,84,15.2,5.6,,,
,,,1714,10,31.1,82,33.5,5.3,,,
,,,1722,10,35.2,84,23.9,7.4,,,
,,,1735,10,36.0,80,29.7,6.6,,,
,,,1739,10,38.5,81,35.0,7.7,,,
,,,1758,10,43.5,80,25.6,6.7,,,
,,,1829,11,10.9,81,44.0,7.1,,,
,,,1834,11,14.5,85,38.4,7.2,,,
,,,1848,11,21.8,87,38.3,7.5,,,
,,,1884,11,31.9,81,7.6,6.1,,,
,,,1902,11,37.1,85,37.0,7.4,,,
,,,1926,11,44.6,82,19.3,7.7,,,
,,,1967,12,0.3,80,51.2,6.4,,,
,,,1973,12,3.3,81,41.3,7.6,,,
,,,1975,12,4.5,85,35.2,6.4,,,
,HD 105943 OS 117,,1991,12,11.0,81,42.6,"6,8.3",Cam,Sep AB:67,Double Star
,,,2001,12,12.9,83,30.2,7.5,,,
,HD 106798 ,,2009,12,16.2,80,7.5,"7.2,7.8",Cam,Sep AB:14,Double Star
,,,2010,12,15.4,87,42.0,6.3,,,
,,,2012,12,16.7,86,26.2,6.3,,,
,,,2054,12,34.3,80,15.0,7.4,,,
,,,2057,12,34.9,85,43.9,7.1,,,
,,,2067,12,39.3,83,38.6,7.3,,,
,,,2080,12,44.4,80,37.3,6.3,,,
,,,2083,12,45.0,79,55.4,7.4,,,
,,,2097,12,48.9,80,24.4,7.6,,,
,,,2101,12,49.1,83,25.1,5.8,,,
,HD 112028 ,,2102,12,49.2,83,24.8,"5.4,5.9",Cam,Sep AB:22,Double Star
,HD 112651 ,,2112,12,54.2,82,31.1,"7.1,10.5",Cam,Sep AB:10,Double Star
,,,2125,12,53.9,87,38.9,7.6,,,
,,,2128,13,0.1,80,52.5,7.3,,,
,,,2164,13,12.4,80,28.3,6.3,,,
,,,2186,13,15.3,84,45.1,7.4,,,
,,,2214,13,24.6,83,18.4,7.3,,,
,,,2222,13,26.7,85,16.2,7.5,,,
,,,2262,13,41.7,80,12.2,7.2,,,
,,,2266,13,42.4,82,45.2,6.2,,,
,,,2282,13,49.1,79,55.3,7.4,,,
,,,2289,13,51.0,80,46.1,6.8,,,
,,,2298,13,49.3,85,44.8,7.5,,,
,,,2366,14,17.8,83,49.9,7.2,,,
,,,2392,14,29.4,80,48.7,7.1,,,
,,,2431,14,38.9,79,47.3,7.5,,,
,HD 131616 ,,2433,14,33.3,85,56.3,"7.1,10.1",UMi,Sep AB:3,Double Star
,,,2458,14,50.5,80,45.0,7.2,,,
,,,2459,14,50.3,82,30.9,5.7,,,
,,,2460,14,40.3,87,12.9,7.2,,,
,,,2465,14,51.7,83,56.3,7.1,,,
,HD 139777 Pi 1 Umi,,2556,15,29.3,80,26.8,"6.6,7.3,11",UMi,"Sep AB:31, Sep AC:154",Double Star
,,,2562,15,29.9,80,46.3,7,,,
,,,2564,15,29.8,82,15.8,6.9,,,
,,,2566,15,27.2,84,49.6,7,,,
,,,2576,15,36.8,80,36.8,7,,,
,,,2588,15,39.6,79,59.0,6.9,,,
,,,2603,15,39.0,85,17.1,7,,,
,,,2604,15,44.6,80,55.9,7,,,
,,,2606,15,43.4,82,56.8,7.3,,,
,,,2625,15,48.7,83,37.2,7.1,,,
,,,2652,16,0.6,80,37.6,7.3,,,
,,,2706,16,19.9,83,41.8,7.2,,,
,HD 153751 Epsilon UMi,,2770,16,46.0,82,2.2,"4.2,11.2",UMi,Sep AB:77,Double Star
,,,2793,16,56.4,80,51.6,6.7,,,
,,,2841,17,10.3,84,35.9,7.7,,,
,,,2859,17,19.6,80,8.2,5.9,,,
,,,2869,17,18.8,83,20.1,7.5,,,
,,,2928,17,42.2,80,16.9,7.1,,,
,,,2937,17,32.2,86,35.1,4.4,,,
,HD 166926 24 Umi,,2940,17,30.7,86,58.1,"8.5,9",UMi,Sep AB:31,Double Star
,,,2958,17,42.8,85,40.2,7.5,,,
,,,2975,17,53.0,83,54.4,7.7,,,
,,,2993,18,5.3,81,29.1,7.7,,,
,,,3005,18,6.0,84,39.3,7.5,,,
,,,3007,18,10.2,82,56.4,7.5,,,
,,,3010,18,12.8,81,28.6,7.2,,,
,,,3020,17,17.0,89,2.3,6.5,,,
,,,3049,18,22.6,83,22.1,7.3,,,
,,,3056,18,24.1,83,10.5,6.1,,,
,,,3059,18,15.5,86,39.4,6.8,,,
,,,3133,18,49.1,83,54.3,6.8,,,
,,,3146,18,53.9,82,22.2,6.8,,,
,,,3160,19,0.4,82,40.3,7.7,,,
,,,3175,19,6.6,80,43.8,7.2,,,
,,,3178,19,7.7,80,45.2,7.1,,,
,HD 184146 ,,3209,19,15.1,83,27.8,"6.5,10.6",Dra,Sep AB:6,Double Star
,,,3219,19,19.6,81,47.8,7.5,,,
,,,3293,19,48.1,81,35.1,7.7,,,
,,,3299,19,49.5,82,27.3,7.6,,,
,,,3325,19,53.8,85,45.5,7.5,,,
,,,3332,19,59.3,84,40.2,6.6,,,
,,,3347,20,7.2,82,13.0,7.5,,,
,,,3362,20,8.6,85,7.5,7.1,,,
,,,3364,20,14.4,80,31.9,6.8,,,
,,,3367,20,10.9,84,32.6,7.2,,,
,,,3388,20,20.7,82,22.1,7.4,,,
,,,3404,20,25.0,83,11.0,6.8,,,
,,,3405,20,26.8,81,26.0,6.9,,,
,HD 196787 ,,3408,20,28.2,81,25.4,"5.6,11.1,6.9",Dra,"Sep AB:110, Sep AC:198",Double Star
,HD 196925 ,,3413,20,29.4,81,5.3,"6.1,9.3",Dra,Sep AB:214,Double Star
,,,3418,20,29.0,83,37.5,6.2,,,
,,,3429,20,34.7,82,0.6,7.5,,,
,,,3458,20,42.6,82,31.9,5.7,,,
,,,3467,20,47.5,80,33.2,5.6,,,
,,,3475,20,49.4,83,56.4,7.2,,,
,,,3504,21,3.6,81,9.6,6.9,,,
,,,3514,21,6.8,81,1.2,7.1,,,
,,,3515,20,57.4,87,1.9,7.4,,,
,,,3532,21,13.0,80,48.3,7.2,,,
,,,3534,21,13.4,81,13.9,6,,,
,,,3541,21,12.7,84,15.5,7.1,,,
,,,3547,21,18.5,80,21.1,7.3,,,
,,,3568,21,24.8,80,31.5,6.1,,,
,,,3636,21,44.3,84,2.3,7,,,
,,,3658,21,54.4,80,18.5,6.6,,,
,HD 209942 ,,3673,21,58.3,82,52.2,"6.9,7.5",Cep,Sep AB:14,Double Star
,,,3675,21,58.4,82,52.3,7.4,,,
,,,3694,22,6.2,82,39.6,7.7,,,
,,,3714,22,3.2,88,4.4,7.4,,,
,,,3721,22,13.1,86,6.4,5.4,,,
,,,3722,22,13.1,86,13.3,6.8,,,
,,,3725,22,16.5,84,30.3,7.5,,,
,,,3737,22,22.6,81,56.3,7,,,
,,,3742,22,22.8,85,3.7,7.2,,,
,,,3746,22,26.0,80,42.1,6.8,,,
,,,3769,22,39.4,81,23.5,6.9,,,
,,,3781,22,43.0,81,53.8,7.7,,,
,,,3784,22,43.1,83,16.2,7.5,,,
,,,3785,22,44.1,80,26.2,7.1,,,
,,,3794,22,47.5,83,9.2,5,,,
,,,3796,22,47.6,83,41.7,7.6,,,
,,,3798,22,49.7,80,22.1,7.3,,,
,,,3799,22,48.2,84,46.6,7.1,,,
,,,3808,22,51.0,85,22.3,6.2,,,
,,,3809,22,51.5,85,2.8,7.6,,,
,,,3816,22,54.3,84,20.8,5,,,
,,,3825,22,59.1,80,20.6,7.3,,,
,,,3830,23,1.2,80,46.9,6.7,,,
,,,3845,23,7.3,80,38.3,7.7,,,
,,,3846,23,7.6,80,34.2,7.2,,,
,,,3865,23,12.1,82,23.6,7.5,,,
,,,3904,23,24.4,86,25.1,6.6,,,
,,,3916,23,26.9,87,18.4,5.6,,,
,,,3938,23,36.4,83,12.2,7.5,,,
,,,3994,23,56.4,83,11.5,6.4,,,
,,,4006,23,59.5,86,42.4,6.7,,,
,,,4020,0,3.4,73,10.5,7.5,,,
,,,4024,0,3.6,70,18.4,7.5,,,
,,,4043,0,8.7,74,12.9,7.4,,,
,,,4048,0,9.3,79,42.9,6.2,,,
,,,4054,0,11.3,74,29.1,7.1,,,
,HD 919 ,,4062,0,14.0,76,1.6,"7.2,7.7",Cep,Sep AB:76,Double Star
,,,4071,0,16.2,76,57.1,6.2,,,
,,,4079,0,18.2,72,56.8,7.5,,,
,,,4080,0,18.4,76,16.6,7.4,,,
,,,4086,0,19.3,73,7.4,7.6,,,
,,,4101,0,22.2,71,30.5,7,,,
,,,4114,0,25.8,71,48.4,6.9,,,
,,,4118,0,27.1,80,3.1,6.5,,,
,,,4130,0,30.8,77,1.2,6.4,,,
,,,4142,0,33.3,70,58.9,6.4,,,
,HD 3366 ,,4165,0,37.8,72,53.7,"7,12.7",Cas,Sep AB:32,Double Star
,HD 3553 ,,4176,0,40.0,76,52.3,"6.7,8.6",Cas,Sep AB:116,Double Star
,,,4181,0,40.4,70,42.5,7.2,,,
,,,4189,0,42.9,79,11.8,7.1,,,
,,,4202,0,44.0,70,49.4,6.9,,,
,,,4208,0,45.0,75,56.4,7.4,,,
,HD 4161 H N 122; YZ Cas,,4216,0,45.6,74,59.3,"5.7,9.4",Cas,Sep AB:36,Double Star
,,,4226,0,47.8,74,50.9,5.4,,,
,,,4229,0,48.1,72,40.5,6,,,
,,,4231,0,48.8,78,28.1,7.2,,,
,,,4241,0,49.9,71,10.5,7.6,,,
,,,4244,0,50.0,70,46.5,7,,,
,,,4247,0,50.9,77,57.2,6.8,,,
,,,4253,0,52.5,79,50.4,7.5,,,
,,,4256,0,53.3,74,18.8,7.4,,,
,,,4278,0,58.2,70,29.8,6.9,,,
,,,4288,1,0.5,70,59.0,6.5,,,
,,,4316,1,4.8,74,22.3,6.8,,,
,,,4327,1,6.9,70,55.9,6.6,,,
,,,4331,1,9.2,80,0.7,6.4,,,
,,,4341,1,12.2,79,40.4,5.7,,,
,,,4347,1,13.4,73,55.3,7.5,,,
,,,4354,1,16.5,79,54.6,6.4,,,
,,,4358,1,16.2,71,44.6,6.4,,,
,HD 7406 ,,4360,1,16.6,74,1.6,"7.1,7.9",Cas,Sep AB:61,Double Star
,,,4371,1,18.7,72,52.7,7.2,,,
,,,4372,1,18.8,72,24.1,7.1,,,
,,,4373,1,19.2,76,47.8,7.6,,,
,,,4374,1,19.7,72,36.7,7.2,,,
,,,4376,1,20.3,77,34.2,6.4,,,
,,,4383,1,22.0,79,1.6,7.4,,,
,,,4384,1,21.5,74,34.8,7.2,,,
,,,4386,1,22.0,76,42.6,7.1,,,
,,,4387,1,22.0,76,14.4,6.5,,,
,,,4391,1,23.8,78,43.6,6.1,,,
,,,4393,1,24.1,72,50.8,7.2,,,
,,,4401,1,25.8,70,58.8,6.5,,,
,,,4407,1,29.0,74,12.4,7.3,,,
,,,4422,1,31.2,70,15.9,6,,,
,,,4448,1,37.4,74,18.1,6.4,,,
,HD 9774 40 Cas,,4453,1,38.5,73,2.4,"5.3,11.3",Cas,Sep AB:53,Double Star
,,,4461,1,40.9,77,58.1,6.6,,,
,,,4470,1,42.9,70,37.4,5.3,,,
,,,4473,1,43.8,74,36.3,6.8,,,
